id,number,title,user,created_at,merged_at,comments,state,closed_at
649804082,8974,Use madvise(MADV_DONTNEED) to release memory to reduce COW,ShooterIT,2021-05-21T09:16:27Z,2021-08-04T20:01:46Z,27,closed,2021-08-04T20:01:46Z
780137060,9780,Redis Function,MeirShpilraien,2021-11-14T18:23:13Z,2021-12-02T19:41:58Z,13,closed,2021-12-02T19:41:59Z
702163067,9309,Adding ACL support for modules,YaacovHazan,2021-08-03T10:38:26Z,2021-09-23T05:52:56Z,15,closed,2021-09-23T05:52:56Z
802079380,9940,Reuse temporary client objects for blocked clients by module,tezc,2021-12-14T08:28:28Z,2022-01-11T17:00:57Z,14,closed,2022-01-11T17:00:57Z
1048645265,11248,Reclaim page cache of RDB file,uvletter,2022-09-07T11:36:04Z,2023-02-12T07:23:30Z,22,closed,2023-02-12T07:23:30Z
569890807,8474,Always replicate TTLs as absolute timestamps in milliseconds,ny0312,2021-02-08T23:37:08Z,2021-05-30T06:20:32Z,14,closed,2021-05-30T06:20:32Z
543163619,8217,Added Errorstats info section to enable keeping track of the different errors that occur within Redis; Added failed_calls to commandstats,filipecosta90,2020-12-21T00:54:46Z,2020-12-31T14:53:44Z,18,closed,2020-12-31T14:53:44Z
815228000,10061,Adapt redis-check-aof tool for Multi Part Aof,chenyang8094,2022-01-06T04:53:13Z,2022-02-17T06:13:28Z,19,closed,2022-02-17T06:13:28Z
824806482,10127,sub-command support for ACL CAT and COMMAND LIST. redisCommand always stores fullname,enjoy-binbin,2022-01-17T17:23:44Z,2022-01-23T08:05:07Z,7,closed,2022-01-23T08:05:07Z
708456251,9356,Slot-to-keys using dict entry metadata,zuiderkwast,2021-08-11T08:06:57Z,2021-08-31T06:25:36Z,54,closed,2021-08-31T06:25:36Z
1036644018,11193,Client pause write during OOM and pending lazyfree jobs,moticless,2022-08-25T11:44:58Z,,19,closed,2024-03-25T13:19:21Z
806030030,9963,Adding module api for processing commands during busy jobs and allow flagging the commands that should be handled at this status,perryitay,2021-12-19T09:51:57Z,2022-01-20T07:05:53Z,14,closed,2022-01-20T07:05:53Z
1621088077,12817,Fix race condition issues between the main thread and module threads,sundb,2023-11-29T03:44:45Z,2024-01-19T13:12:50Z,18,closed,2024-01-19T13:12:50Z
774961059,9748,Multiparam config set,yoav-steinberg,2021-11-07T12:17:14Z,2021-12-01T08:15:11Z,6,closed,2021-12-01T08:15:11Z
810027466,10004,Redis Function Libraries,MeirShpilraien,2021-12-26T14:44:43Z,2022-01-06T11:39:39Z,16,closed,2022-01-06T11:39:40Z
1038910243,11199,Module API to allow writes after key space notification hooks,MeirShpilraien,2022-08-28T16:00:39Z,2022-11-24T17:00:04Z,5,closed,2022-11-24T17:00:04Z
553755480,8315,implement FAILOVER command,allenfarris,2021-01-12T20:53:58Z,2021-01-28T21:18:06Z,8,closed,2021-01-28T21:18:06Z
