,Odds Ratio,CI Lower (2.5%),CI Upper (97.5%)
const,2.293577981651381,1.8315260650902754,2.872194973461507
weighted_negativity_ratio,0.012430509443872868,0.002025330707388577,0.0762925108825534
has_any_negative_feedback,1.2755281219798589,0.9168659782733962,1.774492705057408
