id,pr_number,user,submitted_at,state,body
311601745,253,danielpacak,2019-11-05T11:33:35Z,COMMENTED,"overall looks great! amazing improvement from ~3g to ~50 mb. i tested it locally, i.e. run trivy with some images, removed the db manually and exercised cmd line options. most of the comments left are nit or typos."
316278389,253,danielpacak,2019-11-13T14:22:38Z,APPROVED,lgtm
1147566578,3015,liamg,2022-10-19T13:31:01Z,CHANGES_REQUESTED,"looks great, just one minor thing in the docs :rocket:"
1199028602,3015,knqyf263,2022-11-30T12:25:49Z,COMMENTED,almost looks good to me! i left small comments.
1249196611,3015,knqyf263,2023-01-15T11:36:42Z,APPROVED,lgtm :shipit:
540198225,751,danielpacak,2020-11-27T23:44:48Z,CHANGES_REQUESTED,:waving_hand: thanks for this pr. it looks and works great (tested in my cluster). i left a few comments to cleanup a bit descriptors and configs that were only pertinent to harbor scanner adapter.
541029054,751,danielpacak,2020-11-30T15:41:36Z,CHANGES_REQUESTED,good progress. i pointed out some other things. please make sure that you addressed the comments from my first review. there's still unresolved discussions. thank you!
542275112,751,danielpacak,2020-12-01T20:51:12Z,CHANGES_REQUESTED,great progress just a few more things to change and consider before we can merge the pr please.
967869359,2065,knqyf263,2022-05-10T14:21:12Z,COMMENTED,you need to update mkdocs.yml as well. you can see how to build the doc locally here. [a link]
970453577,2065,owenrumney,2022-05-12T08:30:27Z,COMMENTED,these are all just suggestions - mostly docs
2168728431,7131,DmitriyLewen,2024-07-10T10:45:24Z,COMMENTED,hello thanks for your work! lgtm. can you fix tests?
2196159252,7131,DmitriyLewen,2024-07-24T10:26:29Z,COMMENTED,hello sorry for delay. left comments. take a look when you have time.
2247214188,7131,DmitriyLewen,2024-08-20T07:51:39Z,COMMENTED,thanks for work! and sorry for delay. lgtm. left 1 small comment.
2295508440,7131,DmitriyLewen,2024-09-11T05:19:34Z,APPROVED,"hello thanks for your work and sorry for delays. take a look, when you have time, please."
2295787650,7131,knqyf263,2024-09-11T06:28:53Z,APPROVED,it's an awesome contribution! i planned to add this kind of improvement but didn't find the time. thanks for your great work and patience.
2256473876,7336,DmitriyLewen,2024-08-23T06:46:47Z,COMMENTED,"i left comments. take a look, please. can you give examples of problems for other methods to save time if we need to come back to this question?"
2260409002,7336,DmitriyLewen,2024-08-26T11:04:46Z,COMMENTED,lgtm wdyt about this way?
2279073823,7336,knqyf263,2024-09-04T07:18:53Z,COMMENTED,i [a link] but realized there was no test. i'm not sure my changes work as expected. could you add a test for license texts?
2134620197,6993,DmitriyLewen,2024-06-24T05:51:10Z,COMMENTED,i found that we show 2 same errors: [code block]
2135751720,6993,nikpivkin,2024-06-24T13:01:37Z,APPROVED,lgtm!
2311735703,7526,DmitriyLewen,2024-09-18T06:45:40Z,COMMENTED,"hello i left a comments. do you have a test action in your fork? if yes, please add a link to this run in the pr description. i didn't find conditions for that."
2391661982,7526,DmitriyLewen,2024-10-24T08:10:38Z,APPROVED,lgtm
1604532091,5062,DmitriyLewen,2023-08-31T11:19:53Z,APPROVED,lgtm
1900148984,6176,DmitriyLewen,2024-02-26T08:45:13Z,COMMENTED,left some comments. fyi: i didn't check `iac` directory
1907852820,6176,simar7,2024-02-29T03:14:32Z,APPROVED,just a couple of small fixes but lgtm otherwise!
245846682,50,knqyf263,2019-06-05T08:16:48Z,COMMENTED,"currently, trivy only detects vulnerabilities when lock file is found. when `package-lock.json` is found, it detects vulnerabilities related with javascript. even in that case do you want to filter? is it insufficient to filter by two types, `os` or `library`?"
1842850463,5999,DmitriyLewen,2024-01-25T05:13:18Z,COMMENTED,"hello -durand thanks for your work! i left some comments. take a look, please. can you also update tests, please"
1868485561,5999,RichardoC,2024-02-07T18:13:54Z,APPROVED,thank you for fixing this!
1887946581,5999,DmitriyLewen,2024-02-19T09:36:36Z,COMMENTED,"hello -durand sorry for delay. left comments. take a look, please."
1895004505,5999,DmitriyLewen,2024-02-22T06:23:11Z,APPROVED,"-duran thank you very much for your work, discussion, opinions and patience. lgtm. i think we choosed the best solution for this problem. i approved this pr. take a look, please."
2010580397,6476,DmitriyLewen,2024-04-19T06:16:51Z,COMMENTED,"hello left some comments. also take a look linter error, please."
2024044776,6476,DmitriyLewen,2024-04-26T03:00:58Z,COMMENTED,left some small comments
2030394223,6476,knqyf263,2024-04-30T07:15:03Z,APPROVED,i've just reviewed go.mod and `pkg/flag`
2036290076,6476,nikpivkin,2024-05-02T16:43:09Z,APPROVED,lgtm
2043003258,6633,DmitriyLewen,2024-05-07T12:07:04Z,APPROVED,"to save us time, i refactored some missing places: [a link] [a link] take a look, please. if these changes are good for you - you can merge this pr."
2176806606,7160,knqyf263,2024-07-15T05:25:35Z,COMMENTED,"`--offline-scan` should affect all scanning, not limited to jar scanning (to complicate things, jar scanning was switched to java db, so this flag is not used for anything now.). when we implement internet access in the future, it should be disabled by `--offline-scan`. also, i think misconfiguration scanning should respect this flag (downloading terraform modules, etc.)."
2179016324,7160,simar7,2024-07-16T01:26:30Z,COMMENTED,"overall lgtm, left a couple of comments."
2224800807,7160,knqyf263,2024-08-07T14:19:39Z,COMMENTED,lgtm. left some comments.
2334878410,7605,simar7,2024-09-28T05:04:49Z,APPROVED,"lgtm, just left one nit comment."
2336561763,7605,DmitriyLewen,2024-09-30T07:06:06Z,APPROVED,lgtm
2340128688,7605,knqyf263,2024-10-01T12:57:12Z,APPROVED,i want to improve logging a bit. i'll open another pr soon.
2580009284,8294,DmitriyLewen,2025-01-29T05:14:47Z,APPROVED,lgtm
639283945,935,simar7,2021-04-19T20:34:59Z,APPROVED,thanks lgtm!
878880050,1638,knqyf263,2022-02-10T14:00:31Z,COMMENTED,can we use reusable workflows? [a link]
1652130762,5285,DmitriyLewen,2023-10-02T06:19:30Z,COMMENTED,"hello thanks for your work! i left some comments. take a look, when you have time, please. regards, dmitriy"
1694018813,5285,DmitriyLewen,2023-10-24T07:38:43Z,COMMENTED,i left a few small comments. i also forgot to ask you to add a test for members. and one more thing - can you show how cargo builds a dependency tree for participants. i'm worried about direct/indirect dependencies.
2641010800,8254,knqyf263,2025-02-25T13:46:51Z,COMMENTED,i'm sorry to be late. it looks good to me. thanks for your contribution! i left some small comments.
2646826884,8254,knqyf263,2025-02-27T07:21:03Z,APPROVED,"lgtm. i want to add some tweaks, but it's my job. thanks for your contribution."
1389259269,4047,DmitriyLewen,2023-04-18T05:04:29Z,COMMENTED,thanks for your work! looks good. i added some comments. can you take a look?
1393226629,4047,DmitriyLewen,2023-04-20T05:54:15Z,COMMENTED,"lgtm i added some comments. take a look, please. also i think we need add some information about this in docs - [a link] i mean default value, priority, etc..."
1399370641,4047,AnaisUrlichs,2023-04-25T08:13:14Z,APPROVED,"docs looks good to me, thank you"
1426057675,4047,knqyf263,2023-05-15T08:39:45Z,APPROVED,"i've added some tweaks, such as comments, formatting, etc., but it looks great to me! thanks for your contribution."
2256506082,7340,DmitriyLewen,2024-08-23T07:07:13Z,COMMENTED,i may have found another issue (maybe for another pr): file `id0piatu` contains 2 same packages with different bomrefs. should we show 2 bomrefs in `affects` array: something like that: [code block]
2271986910,7340,DmitriyLewen,2024-08-30T11:18:13Z,APPROVED,"lgtm take a look, when you have time"
2305750127,7340,DmitriyLewen,2024-09-16T05:25:13Z,COMMENTED,left comments
1867017190,6072,DmitriyLewen,2024-02-07T07:03:08Z,COMMENTED,"hello thanks for your work. you can read about pr title here - [a link] i left some comments. take a look, please. can you also update docs: - [a link] - [a link] about tests - i think we can add 1 more testcase in [a link]: add `scanner` to `args`, scan licenses for `testdata/fixtures/sbom/centos-7-cyclonedx.json` and create new golden file."
1927343788,6072,DmitriyLewen,2024-03-11T09:40:18Z,COMMENTED,hello left comments. also pay attention to integration tests. `integration/client_server_test.go` is now broken.
1942348404,6072,DmitriyLewen,2024-03-18T09:13:12Z,APPROVED,"thanks for your work! take a look, when you have time, please."
2047694902,6275,chen-keinan,2024-05-09T11:35:19Z,COMMENTED,"look good, i have added few comments"
2066193525,6275,chen-keinan,2024-05-20T13:14:50Z,COMMENTED,all entries where `trivy-policies` appear it should be replaced with `trivy-checks`
2051728152,6674,DmitriyLewen,2024-05-13T06:43:46Z,COMMENTED,left some comments. also prefix log is broken: [code block]
2054416836,6674,DmitriyLewen,2024-05-14T06:43:38Z,APPROVED,lgtm
2564126694,8178,knqyf263,2025-01-21T10:17:09Z,COMMENTED,we also need to update the document.
1152320460,2589,knqyf263,2022-10-23T15:01:01Z,COMMENTED,"just to clarify my understanding, it filters out the misconfiguration results by avd-id when the resource is `pod` under `kube-system` so it can know infra components, right?"
1485912337,4557,knqyf263,2023-06-19T10:27:07Z,APPROVED,lgtm:ship:
2214611833,7261,DmitriyLewen,2024-08-02T05:29:29Z,COMMENTED,"i left a comments. take a look, when you have time, please. can you also update screenshots from pr description (`global options` comes first)"
2215306625,7261,DmitriyLewen,2024-08-02T10:43:24Z,APPROVED,lgtm take a look when you have time. maybe you'll have some ideas.
2218215165,7261,knqyf263,2024-08-05T07:18:39Z,APPROVED,lgtm! thanks!
1630254902,5154,DmitriyLewen,2023-09-18T04:12:50Z,COMMENTED,"hello thanks for your work! some languages have nuances with lowercase in purl (e.g. `go`, `npm`). to avoid problem with that - we use original names ([a link] maven plugin uses `name` and `group` field. we try to adhere to the language format. but i understand your point. i left a comment. take a look, please. regards, dmitriy"
1635084652,5154,DmitriyLewen,2023-09-20T08:52:12Z,COMMENTED,looks good now. thanks for your work! can you update title of this pr? (we don't use `purl` instead of `name` and `group` name => we use one of these fields.
1635146579,5154,DmitriyLewen,2023-09-20T09:11:35Z,APPROVED,great! thanks! i approved this pr.
1264794921,3391,knqyf263,2023-01-22T15:33:43Z,APPROVED,looks great to me!
2375263150,7690,nikpivkin,2024-10-17T13:33:12Z,APPROVED,lgtm
2379162945,7690,simar7,2024-10-19T01:27:19Z,APPROVED,"lgtm, but i'll wait for to take a look as well."
2381449796,7690,knqyf263,2024-10-21T09:26:18Z,APPROVED,lgtm
804062200,1230,knqyf263,2021-11-11T17:42:30Z,APPROVED,thanks a lot! we will improve our sarif generation later.
1152310505,2951,josedonizetti,2022-10-23T13:39:30Z,APPROVED,"some nits, plus the doc relocation point, looks great!"
1152341313,2951,knqyf263,2022-10-23T18:05:24Z,COMMENTED,"overall, the test data is large, making it difficult to understand what they are tasting. also, it makes maintenance harder. is it possible to make the test data as small as possible in unit tests?"
2198805007,7206,DmitriyLewen,2024-07-25T11:09:50Z,APPROVED,lgtm left small comment
2199093404,7206,DmitriyLewen,2024-07-25T11:58:26Z,APPROVED,lgtm
2312235487,7444,afdesk,2024-09-18T11:20:52Z,CHANGES_REQUESTED,thanks for your contribute! i left a few comments
2314713668,7444,afdesk,2024-09-19T07:57:11Z,APPROVED,lgtm!
1599776269,5059,chen-keinan,2023-08-29T08:12:21Z,COMMENTED,"thank you for the contribution, maybe its best to add the exclude logic in :` trivy-kubernetes` project [a link]"
1601888335,5059,chen-keinan,2023-08-30T05:16:21Z,DISMISSED,thank you for the contribution lgtm :rocket: . lets wait for #5019 to get approved and merged (will also solve the integration test issue)
1957315529,6357,DmitriyLewen,2024-03-25T10:45:34Z,CHANGES_REQUESTED,"hello thanks for your work! left comments. take a look, please. also you need to update [a link] (use `mage docs:generate` command to see changes in browser) - v2 doesn't support dependency tree. regards, dmitriy"
2000281948,6357,DmitriyLewen,2024-04-15T08:15:18Z,COMMENTED,"hello thanks for your changes! i left 1 small comment. also resolve conflict please. regards, dmitriy"
2004998520,6357,DmitriyLewen,2024-04-17T04:35:55Z,APPROVED,"thanks for your work! lgtm. take a look, when you have time, please."
2293823343,7339,simar7,2024-09-10T21:35:30Z,APPROVED,lgtm but we probably need to hear back on the ccla proceedings prior to merge.
2554919732,8244,knqyf263,2025-01-16T07:11:42Z,COMMENTED,it looks great :thumbs_up: left small comments.
829579331,1287,knqyf263,2021-12-12T02:58:18Z,COMMENTED,thanks! i left some comments.
880957660,1287,knqyf263,2022-02-13T09:34:21Z,APPROVED,i refactored a bit since i didn't want to bother you. please let me know if my update broke something.
897947606,1756,krol3,2022-03-02T17:52:43Z,COMMENTED,please add the screenshots in 'gitlab-ci.md' about the expected result in the gitlab/codequality too.
911848212,1756,krol3,2022-03-16T15:35:02Z,CHANGES_REQUESTED,"nice improvement! please consider this pr [a link] ""updated the gitlab ci examples to use the environment variables trivy_cache_dir and trivy_no_progress instead of providing them for every commands"""
923325062,1756,krol3,2022-03-28T15:20:05Z,APPROVED,lgtm. thanks
