id,number,title,user,created_at,merged_at,comments,state,closed_at
872489445,1799,feat(sbom): add a dedicated sbom command,tamirkiviti13,2022-03-06T16:18:29Z,2022-03-23T21:42:22Z,3,closed,2022-03-23T21:42:22Z
879816801,1832,feat(cyclonedx): add vulnerabilities,masahiro331,2022-03-15T06:47:43Z,2022-03-22T18:22:55Z,0,closed,2022-03-22T18:22:55Z
1004282817,2567,feat(report): add support for Cosign vulnerability attestation,otms61,2022-07-21T14:30:01Z,2022-07-27T14:39:35Z,0,closed,2022-07-27T14:39:35Z
1237839997,3599,feat(image): custom docker host option,aswath-s-tw,2023-02-11T20:03:00Z,2023-04-20T19:10:51Z,18,closed,2023-04-20T19:10:51Z
2110960616,7664,feat(cli): add `trivy auth`,knqyf263,2024-10-07T14:08:52Z,2024-10-09T10:47:19Z,10,closed,2024-10-09T10:47:19Z
721975936,1202,Add CSV template,macedogm,2021-08-29T15:56:06Z,,26,closed,2023-06-25T00:06:39Z
1090619031,3037,feat: Adding support for Windows testing,owenrumney,2022-10-18T11:08:23Z,2022-12-22T20:54:19Z,1,closed,2022-12-22T20:54:19Z
1132413333,3215,feat: add support for Wolfi Linux,luhring,2022-11-22T21:14:33Z,2022-12-12T20:43:44Z,18,closed,2022-12-12T20:43:45Z
1751433554,6240,refactor(sbom): add intermediate representation for BOM,knqyf263,2024-03-01T10:36:00Z,2024-03-12T07:18:42Z,3,closed,2024-03-12T07:18:42Z
1773805361,6329,feat(c): add license support for conan lock files,DmitriyLewen,2024-03-15T10:07:19Z,2024-04-24T05:54:41Z,0,closed,2024-04-24T05:54:41Z
1909399220,6882,feat(java): add support for sbt projects using sbt-dependency-lock,stringbean,2024-06-07T14:51:44Z,2024-06-19T09:09:16Z,1,closed,2024-06-19T09:09:16Z
1775584326,6333,feat(image): updated json report added package locations fields,parvez0,2024-03-16T16:39:10Z,,11,closed,2024-07-21T00:07:05Z
2236968522,8106,fix(python): skip dev group's deps for poetry,nikpivkin,2024-12-16T10:25:51Z,2024-12-23T06:39:09Z,3,closed,2024-12-23T06:39:09Z
364403191,376,contrib: Add GitLab CI template to deeply integrated with GitLab Container Scanning,tnir,2020-01-18T07:56:13Z,2020-01-26T14:08:45Z,6,closed,2020-01-26T14:08:45Z
1405192665,4706,feat(report): Add `InstalledFiles` field to Package,AliDatadog,2023-06-23T14:55:27Z,2023-10-16T06:45:22Z,9,closed,2023-10-16T06:45:22Z
948566961,2186,BREAKING(k8s): change CLI API,josedonizetti,2022-05-26T18:39:19Z,2022-06-15T07:41:19Z,11,closed,2022-06-15T07:41:19Z
993408890,2494,"feat(repo): add support for branch, commit, & tag",ShubhamPalriwala,2022-07-11T18:15:08Z,2022-07-17T10:54:28Z,4,closed,2022-07-17T10:54:28Z
1111389101,3130,feat(misconf): Add compliance check support,simar7,2022-11-04T23:07:30Z,2022-12-07T20:43:00Z,6,closed,2022-12-07T20:43:00Z
1487891964,5037,feat(swift): add vulns for cocoapods,DmitriyLewen,2023-08-24T11:48:51Z,2023-08-29T13:21:59Z,0,closed,2023-08-29T13:21:59Z
814173259,1539,BREAKING: Trivy DB from GHCR,knqyf263,2022-01-04T20:15:52Z,2022-01-06T18:08:41Z,0,closed,2022-01-06T18:08:41Z
934991046,2111,docs: Add Operator docs under Kubernetes section,owenrumney,2022-05-12T15:32:34Z,2022-05-16T14:58:26Z,9,closed,2022-05-16T14:58:26Z
1060669757,2910,feat: add virtual machine scan command,masahiro331,2022-09-19T18:35:47Z,2022-11-27T09:45:01Z,9,closed,2022-11-27T09:45:01Z
1905265589,6861,feat(k8s)!: node-collector dynamic commands support,chen-keinan,2024-06-05T14:15:18Z,2024-06-26T07:25:16Z,3,closed,2024-06-26T07:25:16Z
1928332686,6965,feat: add openSUSE tumbleweed detection and scanning,msmeissn,2024-06-19T09:44:00Z,2024-07-09T04:44:26Z,8,closed,2024-07-09T04:44:26Z
2243768287,8134,feat(python): add support for uv dev and optional dependencies,nikpivkin,2024-12-19T07:44:36Z,2024-12-24T14:04:45Z,2,closed,2024-12-24T14:04:45Z
328191233,201,test(integration): add integration tests,knqyf263,2019-10-15T10:18:22Z,2019-10-18T20:58:28Z,1,closed,2019-10-18T20:58:28Z
444434660,552,improve ruby comparison version check.,rahul2393,2020-07-05T17:11:27Z,2020-07-19T15:03:57Z,3,closed,2020-07-19T15:03:57Z
675011312,1081,feat(report): add support for CycloneDX,masahiro331,2021-06-22T02:03:03Z,2022-02-22T16:01:15Z,10,closed,2022-02-22T16:01:15Z
838173368,1668,build: sign container image,developer-guy,2022-02-02T10:54:27Z,2022-03-13T13:35:43Z,4,closed,2022-03-13T13:35:43Z
