repository,pr_number,pr_outcome,weighted_negativity_ratio,total_feedback,has_any_negative_feedback,num_positive_comments,num_neutral_comments,num_negative_comments,total_comments,num_positive_reviews,num_neutral_reviews,num_negative_reviews,total_reviews,num_positive_review_comments,num_neutral_review_comments,num_negative_review_comments,total_review_comments
kafka,14182,rejected,0.04743083003952569,885.5,1,0,1,0,1,4,3,0,7,6,270,14,290
kafka,764,rejected,0.021778584392014518,826.5,1,22,15,0,37,0,0,0,0,12,245,6,263
kafka,13870,merged,0.0548258138206739,875.5,1,2,4,0,6,5,5,0,10,7,260,16,283
kafka,9944,merged,0.06275902901124926,844.5,1,2,14,0,16,12,2,1,15,11,238,17,266
kafka,13443,merged,0.08072768618533258,879.5,1,0,1,0,1,6,0,1,7,16,249,23,288
kafka,6592,merged,0.043507817811012914,735.5,1,27,30,7,64,4,7,5,16,13,195,5,213
kafka,5567,merged,0.0514752040175769,796.5,1,7,14,0,21,5,8,1,14,28,208,13,249
kafka,11331,merged,0.0620815581253804,821.5,1,1,7,0,8,4,2,0,6,9,241,17,267
kafka,4756,rejected,0.05324232081911263,732.5,1,7,30,1,38,4,6,1,11,14,198,12,224
kafka,1446,rejected,0.028402366863905324,422.5,1,19,25,1,45,1,5,1,7,15,103,3,121
kafka,5101,rejected,0.0121049092131809,743.5,1,16,12,0,28,14,0,0,14,19,207,3,229
kafka,6295,rejected,0.01583873290136789,694.5,1,13,26,2,41,5,8,0,13,26,180,3,209
kafka,9485,merged,0.023952095808383235,751.5,1,7,10,0,17,6,1,0,7,9,225,6,240
kafka,1776,rejected,0.015276893698281349,785.5,1,1,1,0,2,0,0,0,0,65,192,4,261
kafka,14690,merged,0.03289924605894448,729.5,1,4,4,1,9,5,0,1,6,18,211,7,236
kafka,2466,rejected,0.04935370152761457,425.5,1,4,24,6,34,9,5,0,14,7,109,5,121
kafka,6694,merged,0.02629416598192276,608.5,1,9,48,3,60,7,1,2,10,12,161,3,176
kafka,4931,rejected,0.028551034975017844,700.5,1,3,5,0,8,7,5,1,13,6,210,6,222
kafka,6177,merged,0.03137902559867878,605.5,1,20,22,1,43,4,4,0,8,27,149,6,182
kafka,2772,rejected,0.024778761061946902,282.5,1,9,7,1,17,3,2,0,5,8,75,2,85
kafka,2330,rejected,0.016824395373291272,475.5,1,4,16,0,20,7,2,1,10,3,140,2,145
kafka,7170,merged,0.025202520252025202,555.5,1,25,21,4,50,5,1,2,8,21,140,2,163
kafka,7884,rejected,0.048604860486048604,555.5,1,14,42,1,57,11,0,1,12,5,145,8,158
kafka,2735,rejected,0.023084994753410283,476.5,1,2,8,2,12,3,4,0,7,6,141,3,150
kafka,130,rejected,0.027695351137487636,505.5,1,5,9,2,16,0,0,0,0,9,150,4,163
kafka,3621,rejected,0.07992733878292461,550.5,1,11,5,2,18,8,0,0,8,27,131,14,172
kafka,7898,rejected,0.05448354143019296,440.5,1,31,73,15,119,5,1,0,6,12,88,3,103
kafka,9039,merged,0.03747072599531616,640.5,1,0,4,0,4,4,2,0,6,24,176,8,208
kafka,16456,merged,0.009167303284950344,654.5,1,3,1,0,4,11,2,0,13,35,171,2,208
kafka,14364,merged,0.03330689928628073,630.5,1,9,5,0,14,7,1,0,8,10,183,7,200
kafka,17373,merged,0.0384967919340055,545.5,1,20,32,3,55,12,2,0,14,13,135,6,154
kafka,13561,merged,0.04329725228975854,600.5,1,7,15,0,22,17,1,1,19,22,150,8,180
kafka,5201,merged,0.031799163179916316,597.5,1,1,24,1,26,1,4,0,5,7,174,6,187
kafka,13639,merged,0.041315990818668706,653.5,1,2,0,0,2,4,2,0,6,8,196,9,213
kafka,4812,rejected,0.0374468085106383,587.5,1,3,22,1,26,4,11,0,15,22,148,7,177
kafka,7378,merged,0.004758128469468675,630.5,1,1,12,0,13,4,0,0,4,4,198,1,203
kafka,5709,merged,0.0380650277557494,630.5,1,0,12,0,12,2,1,0,3,11,185,8,204
kafka,812,rejected,0.014646053702196907,614.5,1,13,7,0,20,0,0,0,0,11,184,3,198
kafka,165,rejected,0.057190916736753576,594.5,1,3,20,1,24,0,0,0,0,10,169,11,190
kafka,17539,merged,0.030571198712791632,621.5,1,5,0,1,6,13,2,0,15,2,187,6,195
kafka,2849,rejected,0.043513295729250605,620.5,1,2,4,0,6,3,1,0,4,8,185,9,202
kafka,2964,rejected,0.020924149956408022,573.5,1,2,6,0,8,3,2,0,5,11,170,4,185
kafka,1884,rejected,0.02459791863765374,528.5,1,1,15,1,17,2,3,0,5,10,153,4,167
kafka,5379,merged,0.0567139282735613,599.5,1,2,5,1,8,7,2,0,9,8,172,11,191
kafka,191,rejected,0.03234501347708895,556.5,1,10,21,0,31,0,0,0,0,3,166,6,175
kafka,10070,merged,0.029387755102040815,612.5,1,1,1,0,2,7,4,0,11,14,176,6,196
kafka,3765,rejected,0.00529567519858782,566.5,1,3,17,0,20,8,1,0,9,10,165,1,176
kafka,13240,rejected,0.06142728093947606,553.5,1,17,12,1,30,2,3,0,5,12,148,11,171
kafka,2140,rejected,0.05703048180924287,508.5,1,9,11,2,22,5,1,0,6,9,140,9,158
kafka,4830,rejected,0.0,567.5,0,9,6,0,15,6,3,0,9,5,173,0,178
kafka,9103,merged,0.04741000877963126,569.5,1,1,5,0,6,5,2,0,7,3,171,9,183
kafka,132,rejected,0.03773584905660377,503.5,1,11,29,4,44,0,0,0,0,11,137,5,153
kafka,5693,merged,0.05258545135845749,570.5,1,2,10,0,12,5,4,0,9,15,155,10,180
kafka,5821,merged,0.022628372497824196,574.5,1,6,4,1,11,7,0,0,7,23,156,4,183
kafka,5428,merged,0.033426183844011144,538.5,1,3,15,0,18,3,5,0,8,27,135,6,168
kafka,2743,rejected,0.03065134099616858,391.5,1,1,4,0,5,3,1,0,4,1,121,4,126
kafka,18240,merged,0.021447721179624665,559.5,1,0,1,0,1,5,4,0,9,7,169,4,180
kafka,2244,rejected,0.1090458488228005,403.5,1,1,10,0,11,0,3,1,4,6,108,14,128
kafka,2074,rejected,0.04397905759162304,477.5,1,7,3,0,10,2,2,0,4,27,119,7,153
kafka,3849,rejected,0.0282021151586369,425.5,1,3,44,3,50,7,2,0,9,3,113,3,119
kafka,1336,rejected,0.0658513640639699,531.5,1,15,6,0,21,1,1,1,3,23,134,11,168
kafka,2744,rejected,0.04195804195804196,357.5,1,7,3,0,10,7,0,0,7,7,99,5,111
kafka,9487,merged,0.07203791469194312,527.5,1,0,4,0,4,5,2,1,8,11,146,12,169
kafka,10851,merged,0.0594059405940594,454.5,1,19,10,8,37,16,0,2,18,29,93,5,127
kafka,195,rejected,0.030211480362537766,496.5,1,3,7,0,10,0,0,0,0,6,151,5,162
kafka,2910,rejected,0.02771362586605081,216.5,1,2,6,0,8,4,1,0,5,2,62,2,66
kafka,10579,merged,0.03367633302151544,534.5,1,7,1,0,8,8,0,0,8,9,155,6,170
kafka,3325,rejected,0.0070838252656434475,423.5,1,4,17,0,21,3,3,0,6,3,126,1,130
kafka,10218,merged,0.03471552555448409,518.5,1,6,4,0,10,14,0,0,14,10,144,6,160
kafka,14432,merged,0.03758654797230465,505.5,1,11,3,1,15,8,0,0,8,7,145,6,158
kafka,14408,merged,0.022535211267605635,532.5,1,0,0,0,0,7,1,0,8,3,165,4,172
kafka,9100,merged,0.07536231884057971,517.5,1,3,4,0,7,1,2,0,3,8,147,13,168
kafka,2472,rejected,0.08,337.5,1,3,2,0,5,2,2,0,4,6,93,9,108
kafka,8218,merged,0.050156739811912224,478.5,1,4,17,0,21,2,6,0,8,9,130,8,147
kafka,1095,rejected,0.062062062062062065,499.5,1,5,7,1,13,0,0,0,0,18,134,10,162
kafka,7629,merged,0.033946251768033946,353.5,1,0,7,0,7,2,3,0,5,3,105,4,112
kafka,8589,merged,0.05029940119760479,417.5,1,20,17,3,40,5,2,0,7,10,105,6,121
kafka,5322,rejected,0.009864364981504316,405.5,1,6,40,1,47,1,4,0,5,4,111,1,116
kafka,13391,merged,0.05708460754332314,490.5,1,0,6,1,7,6,0,0,6,6,142,9,157
kafka,1251,rejected,0.06153846153846154,357.5,1,9,29,2,40,3,0,1,4,8,89,6,103
kafka,151,rejected,0.028004667444574097,428.5,1,6,17,0,23,0,0,0,0,12,119,4,135
kafka,2967,rejected,0.02557544757033248,195.5,1,0,8,0,8,3,1,1,5,5,53,1,59
kafka,2719,rejected,0.08617594254937164,278.5,1,6,8,0,14,2,1,0,3,4,74,8,86
kafka,10822,merged,0.01251303441084463,479.5,1,1,6,0,7,8,0,0,8,21,129,2,152
kafka,15640,merged,0.03925845147219193,458.5,1,7,13,0,20,8,1,0,9,11,123,6,140
terminal,737,rejected,0.05863192182410423,153.5,1,0,12,3,15,0,0,0,0,0,44,2,46
terminal,330,rejected,0.1459227467811159,116.5,1,3,15,2,20,1,2,0,3,1,24,5,30
terminal,584,merged,0.03755868544600939,106.5,1,3,13,1,17,1,0,0,1,1,27,1,29
terminal,386,rejected,0.014598540145985401,68.5,1,5,21,1,27,0,1,0,1,0,13,0,13
terminal,505,merged,0.061855670103092786,48.5,1,2,8,3,13,1,3,0,4,1,8,0,9
terminal,742,merged,0.1322314049586777,60.5,1,1,9,0,10,2,1,1,4,0,12,2,14
terminal,542,rejected,0.013605442176870748,73.5,1,2,5,1,8,1,0,0,1,3,18,0,21
terminal,160,merged,0.020618556701030927,48.5,1,0,9,1,10,3,1,0,4,0,10,0,10
terminal,125,merged,0.09876543209876543,40.5,1,2,6,1,9,3,2,0,5,0,6,1,7
terminal,760,merged,0.3389830508474576,29.5,1,5,7,2,14,0,2,1,3,0,1,2,3
