pr_number,total_comments
98,22
248,10
250,7
96,6
43,5
49,5
237,5
193,6
3,3
70,3
80,3
204,3
13,2
82,2
105,2
111,2
185,2
236,3
245,3
11,1
7,1
53,1
23,1
51,1
67,1
79,1
83,1
112,1
119,1
130,1
133,1
134,1
141,1
174,1
178,1
196,1
207,1
213,2
