id,pr_number,user,created_at,body
2568040669,250,JosephMcc,2025-01-02T16:27:46Z,"All of the style classes used are here: https://github.com/linuxmint/cinnamon-screensaver/blob/master/src/cinnamon-screensaver.css

I haven't actually tried to override them and can't test at the moment, but would be a place to start."
2568195102,250,kovacsIVgabor,2025-01-02T18:30:17Z,"Thank you, but no luck. I can't figure out a selector and even if I could, I can only make things transparent which is not the way I solve things :/"
2571566958,250,kovacsIVgabor,2025-01-05T09:49:58Z,"@clefebvre What about consistency with greeter? Because the greeter doesn't have ""unlock"" like button and the osk also hideable."
338393799,96,clefebvre,2017-10-21T13:16:41Z,"Can you explain https://github.com/linuxmint/cinnamon-desktop/pull/96/commits/651175e336292f51a1e3943a58edf6e6c9575ab4?

Other than that, everything looks good.

Do we really need to include a list of symbols in the git tree? That content will be obsolete with every new build.. and it looks like it could very well be generated automatically."
338423313,96,Fantu,2017-10-21T18:36:28Z,"if is not mainteined good probably is better avoid it, if you want remove 651175e commit.
the content need to be updated only if some api will be added/modified/changed and can be useful to understand if the abi need to be dumped
"
376582692,96,Fantu,2018-03-27T16:10:13Z,"probably I'll rebase this in few days and I'll other improvements from debian
@clefebvre about migration to meson can be good use debhelper from stretch-backports instead some manually addition? (ubuntu 18.04 already have debhelper updated with meson support)
I'll try to split all changes in different commits with good descriptions"
376912890,96,Fantu,2018-03-28T14:44:51Z,"@clefebvre rebased and add some other improvements and small fixes, if you don't want commit ""Bump version to 3.7.0 for testing"" remove it
also tested build http://debomatic-amd64.debian.net/distribution#stretch/cinnamon-desktop/3.7.0~1/buildlog
other important improvements are needed but I suppose is not possible now, for example I not understand if you still want support s.o. older that stretch and bionic
some other possible improvement not done for now:
- meson support without manual addition for basic build support using meson require debhelper>=10.3 newer from backport should be also better; migrating dh compat from 9 to 11 make possible also other small improvements and for what I saw few days ago also helped to found a partial build error where on dh 9 of same packages before continued anyway
- as spotted also by lintian: debian-control-has-obsolete-dbg-package (same of all other packages), tell me if will be possible switch to -dbgsym"
379461647,96,Fantu,2018-04-07T11:08:37Z,"now that I had confirm of mint18 support dropped I added other improvements, I also tested build on stretch:
http://debomatic-amd64.debian.net/distribution#stretch/cinnamon-desktop/3.7.0~2"
381614765,96,clefebvre,2018-04-16T14:16:50Z,All merged except for version bump.
99117632,43,jlu5,2015-05-05T15:33:32Z,"Why? The package name is supposed to match the library version.
"
99169730,43,monsta,2015-05-05T18:29:54Z,"@JosephMcc can tell you how it caused installation problems on his machine.

Besides, the lib API version already was 4 - which didn't match the name.
"
99171426,43,jlu5,2015-05-05T18:32:55Z,"@JosephMcc was the one who committed 01d5fec, which is reverted here.
"
99179599,43,monsta,2015-05-05T18:51:40Z,"I know, and that was a hack, and I already asked him if this PR solves the issue.
"
99221538,43,jlu5,2015-05-05T21:06:45Z,"Oh, I see.
"
107020968,49,clefebvre,2015-05-30T10:57:14Z,"Hi leigh, we need more than that to change it.

Can you find out if that fixes/breaks anything? Does it detect your screen vendor info better with that change for instance?
"
107028243,49,leigh123linux,2015-05-30T11:38:43Z,"To be honest it doesn't make any difference to my desktop PC, it shows 'Iiyama North America' with or without it.
My Lenovo shows 'laptop'  with or without it.
"
107856820,49,clefebvre,2015-06-02T08:21:44Z,"Ah well then :)
"
107866004,49,leigh123linux,2015-06-02T08:42:16Z,"so your going to keep the meaningless one with all the fedora and redhat git refences :sunglasses: 
"
107877808,49,clefebvre,2015-06-02T09:09:50Z,"Yes.
"
1919275018,237,mtwebster,2024-01-31T14:57:56Z,"Would this workflow be better off as part of our auto-builds (see https://github.com/linuxmint/github-actions), rather than adding it to every repo? They get triggered for PRs as well.

It wouldn't be on ubuntu-latest container, but I still think it would do the job off mint/lmde images."
1919470303,237,Fantu,2024-01-31T16:32:35Z,"If will not be a problem to manage exclusions of any repository in it can be better.
Small note: it works only for PR this action.
If you want to do it you can start with the action from here but add also the exclusion from https://github.com/linuxmint/cinnamon-settings-daemon/pull/385/commits/9749faa9e7b2c652142d3af26bf688bece9d4362 so will be:
```
skip: ChangeLog,*.po,LINGUAS
# word to exclude must be always lowercase as must be same of the codespell dictionary
ignore_words_list: gir,tyes
```
and from my PR cherry-pick the other commit with the fixes done
after on new PR of other components will appear many spell error detected and also other possible things to exclude anyway with `only_warn: 1` don't fail the tests so don't force contributors to resolve errors already present but at least warns inline in the changed code and under the first errors in the one not changed by the PR"
1939476094,237,mtwebster,2024-02-12T20:06:07Z,"Ok, I added codespell to our CI:
https://github.com/linuxmint/github-actions/commit/cb715827ba6090a605072b159257e42f30bde9d0

Tested on this repo:
https://github.com/linuxmint/cinnamon-desktop/actions/runs/7877089417

I fixed the file in cinnamon-settings-daemon so we don't need to exclude 'tyes'. Let me know if anything doesn't look right. If exceptions ever become an issue we can still specify them per-repo (Add another input [here](https://github.com/linuxmint/cinnamon-desktop/blob/master/.github/workflows/build.yml#L18-L25), like `dependencies`).

Want to update these prs with just the spelling corrections?  Thanks"
1942153913,237,Fantu,2024-02-13T18:28:48Z,"Inserting it into the build job currently runs it 3 times, it would be better to find a way to run it only once, then I think it would be fine to keep it ""global"".
I updated my 2 PR keeping only typo fixes.
Looking c-s-d codespell needs to add `,*.svg` (can be useful also in others repo) and `,requestor` to ignore_words_list"
1948655802,237,mtwebster,2024-02-16T15:40:03Z,"Ok I made a few more changes:
https://github.com/linuxmint/github-actions/commit/8fb9c7c4a7f4670e8c3f8d0637e269978e2552c3

- It only runs on one machine now
- You can specify per-repo words/files to skip, in addition to the 'defaults' (Changelog, .po, etc...)

This way someone opening a PR can add to the repo ignore lists instead of us having to update our github-actions every time.

edit: I used xapp to test per-repo stuff:
https://github.com/linuxmint/xapp/commit/b5894870cd47ee1dd3f53e86562a7ecf2ce90475"
